,ti (s),Dyi (cm),v_avg (cm/s),Dyi error (cm),v_avg error (cm/s)
0,0.0,0.3,18.0,0.05,3.0
1,0.016,0.55,33.0,0.05,3.0
2,0.033,0.85,51.0,0.05,3.0
3,0.05,1.1,66.0,0.05,3.0
4,0.066,1.4,84.0,0.05,3.0
5,0.083,1.85,111.0,0.05,3.0
6,0.1,1.95,117.0,0.05,3.0
7,0.116,2.2,132.0,0.05,3.0
8,0.133,2.5,150.0,0.05,3.0
9,0.15,2.8,168.0,0.05,3.0
10,0.166,3.05,183.0,0.05,3.0
11,0.183,3.25,195.0,0.05,3.0
12,0.2,3.55,213.0,0.05,3.0
13,0.216,3.85,231.0,0.05,3.0
14,0.233,4.1,245.99999999999997,0.05,3.0
15,0.25,4.4,264.0,0.05,3.0
16,0.266,4.7,282.0,0.05,3.0
17,0.283,4.9,294.0,0.05,3.0
18,0.3,5.2,312.0,0.05,3.0
19,0.316,5.5,330.0,0.05,3.0
20,0.333,5.75,345.0,0.05,3.0
21,0.35,6.05,363.0,0.05,3.0
22,0.366,6.25,375.0,0.05,3.0
23,0.383,6.55,393.0,0.05,3.0
24,0.4,6.85,411.0,0.05,3.0
25,0.416,7.05,423.0,0.05,3.0
26,0.433,7.4,444.0,0.05,3.0
27,0.45,7.65,459.0,0.05,3.0
28,0.466,7.95,477.0,0.05,3.0
29,0.483,8.15,489.0,0.05,3.0
30,0.5,8.5,510.0,0.05,3.0
31,0.516,8.75,525.0,0.05,3.0
